document,pages,avg_char_count,avg_char_density,avg_whitespace_ratio,avg_image_area_ratio,scanned_pages_ratio,origin_type_guess,layout_complexity_guess
2013-E.C-Assigned-regular-budget-and-expense.pdf,3,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
2013-E.C-Audit-finding-information.pdf,3,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
2013-E.C-Procurement-information.pdf,3,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
2018_Audited_Financial_Statement_Report.pdf,3,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
20191010_Pharmaceutical-Manufacturing-Opportunites-in-Ethiopia_VF.pdf,15,516.9333333333333,0.000819899679942802,0.842385313771299,0.4537870211859252,0.0,native_digital,mixed
2019_Audited_Financial_Statement_Report.pdf,3,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
2020_Audited_Financial_Statement_Report.pdf,3,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
2021_Audited_Financial_Statement_Report.pdf,3,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
2022_Audited_Financial_Statement_Report.pdf,3,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
Annual_Report_JUNE-2017.pdf,104,1610.9903846153845,0.003690591554317699,0.8313099237791496,0.10728437173014096,0.08653846153846154,native_digital,mixed
Annual_Report_JUNE-2018.pdf,92,1818.858695652174,0.003992254610569187,0.8234771319536695,0.11705469878621652,0.0,native_digital,mixed
Annual_Report_JUNE-2019.pdf,32,940.875,0.0018774060142581978,0.8885383595961897,0.6430004003261937,0.5,mixed,mixed
Annual_Report_JUNE-2020.pdf,100,1922.79,0.004404888199516297,0.8186908971012155,0.0882277857857808,0.02,native_digital,mixed
Annual_Report_JUNE-2021.pdf,110,1847.1,0.004231491215019088,0.8243430912921912,0.10396130004323291,0.05454545454545454,native_digital,mixed
Annual_Report_JUNE-2022.pdf,106,1377.3207547169811,0.003155281616506072,0.856701051327354,0.270058354323658,0.05660377358490566,native_digital,mixed
Annual_Report_JUNE-2023.pdf,104,3542.5,0.00811545537827141,0.58237703926938,0.22018048573755974,0.009615384615384616,native_digital,mixed
Audit Report - 2023.pdf,95,1.2210526315789474,2.398698115034865e-06,0.9988432550468409,0.9896442891135638,0.9894736842105263,scanned_image,figure_heavy
CBE ANNUAL REPORT 2023-24.pdf,161,1984.4223602484471,0.003959682714450785,0.7631130917231216,0.08958232336791987,0.062111801242236024,native_digital,table_heavy
CBE Annual Report 2006-7 .pdf,60,1651.05,0.0032944779272924764,0.7963466855132482,0.20967579846457352,0.1,native_digital,table_heavy
CBE Annual Report 2008-9 .pdf,32,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
CBE Annual Report 2009-10.pdf,38,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
CBE Annual Report 2010-11.pdf,62,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
CBE Annual Report 2011-12.pdf,63,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
CBE Annual Report 2012-13.pdf,20,1147.4,0.0023672179309434213,0.8391756828240874,0.09518485359003359,0.0,native_digital,mixed
CBE Annual Report 2013-14.pdf,33,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
CBE Annual Report 2014-15.pdf,30,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
CBE Annual Report 2015-16.pdf,34,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
CBE Annual Report 2015-16_1.pdf,34,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
CBE Annual Report 2016-17.pdf,147,2471.2448979591836,0.004931080147876665,0.7274971710481166,0.07529947826477093,0.05442176870748299,native_digital,mixed
CBE Annual Report 2017-18.pdf,171,2033.812865497076,0.004058235690777106,0.7885235324045665,0.05541262301700939,0.029239766081871343,native_digital,mixed
CBE Annual Report 2018-19.pdf,162,1919.216049382716,0.003829571147891026,0.7939014819857221,0.05242301404148557,0.024691358024691357,native_digital,mixed
Company_Profile_2024_25.pdf,24,1106.5416666666667,0.003122705479567107,0.8494880004041905,0.5269527015452953,0.0,mixed,mixed
Consumer Price Index August 2025.pdf,13,1272.923076923077,0.0026261864497158613,0.8622149582920612,0.1652494670657048,0.0,native_digital,mixed
Consumer Price Index July 2025.pdf,13,1241.8461538461538,0.00256207118952217,0.8523128256466654,0.15933753579664023,0.0,native_digital,mixed
Consumer Price Index June 2025.pdf,13,1233.8461538461538,0.002545566271056467,0.8642834176652499,0.16613868151411043,0.0,native_digital,mixed
Consumer Price Index March 2025.pdf,12,1135.5833333333333,0.0023428387909597056,0.8563498960487915,0.161486666570388,0.0,native_digital,mixed
Consumer Price Index May 2025.pdf,13,1219.4615384615386,0.002515889158046021,0.8657912283318251,0.14813637043830574,0.0,native_digital,mixed
Consumer Price Index September 2025.pdf,13,1421.6153846153845,0.0029329557515832025,0.8425495157838043,0.1546068728543606,0.0,native_digital,mixed
"Consumer Price Index, April 2025.pdf",12,1131.9166666666667,0.002335274036662925,0.8574714696899582,0.15881554192740208,0.0,native_digital,mixed
ETHSWITCH-Annual-Report-202122.pdf,84,2076.309523809524,0.0043465339593538365,0.7860602571107916,0.21371508763668567,0.023809523809523808,native_digital,mixed
ETS-Annual-Report-2023_2024.pdf,92,1701.804347826087,0.0033957515267165612,0.8532443524412874,0.25797195030614944,0.08695652173913043,native_digital,mixed
ETS_Annual_Report_2024_2025.pdf,94,1680.1063829787233,0.0033524557757383736,0.8462680402692533,0.27788665695720494,0.10638297872340426,native_digital,mixed
EthSwitch-10th-Annual-Report-202324.pdf,80,569.8625,0.0011370939655110527,0.9247456322406487,0.44135214819134594,0.4125,mixed,mixed
EthSwitch-Annual-Report-2019.pdf,70,0.0,0.0,1.0,0.9934848779818704,1.0,scanned_image,figure_heavy
Ethswitch-Annual-report-2020.2021_.pdf,91,0.0,0.0,1.0,0.9249151324433521,1.0,scanned_image,figure_heavy
Security_Vulnerability_Disclosure_Standard_Procedure_1.pdf,15,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
Security_Vulnerability_Disclosure_Standard_Procedure_2.pdf,15,0.0,0.0,1.0,1.0,1.0,scanned_image,figure_heavy
fta_performance_survey_final_report_2022.pdf,155,1699.1612903225807,0.003390106221571501,0.8090292930398992,0.08259221790911636,0.0,native_digital,table_heavy
tax_expenditure_ethiopia_2021_22.pdf,60,1753.4166666666667,0.003499972558325513,0.8398787057033118,0.0007183224179620457,0.0,native_digital,table_heavy
